id,tenant_id,area_id,title,description,progress,created_by,due_date,start_date,completion_date,created_at,updated_at,status
023cd9e1-db30-44f8-9c1d-305b90f40422,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a29,Innovación y Desarrollo - Lanzar nueva línea de eco-iluminación,Innovar y desarrollar nuevas capacidades para: Lanzar nueva línea de eco-iluminación,0,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a38,2025-10-25,2025-06-27,,2025-08-11 18:27:49.784461+00,2025-08-11 18:27:49.784461+00,planning
105cae50-e965-4b30-a73b-29a5608204a0,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a30,Innovación y Desarrollo - Optimizar la cadena de producción,Innovar y desarrollar nuevas capacidades para: Optimizar la cadena de producción,0,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a38,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,planning
10df7b40-5b8a-4a7b-826d-23a36f7501dc,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,df73ea49-2af1-4909-8a8a-fd1bcd99137c,Sistema Feedback Tiempo Real,Iniciativa para: Mejorar NPS a 85 puntos,45,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-06-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
12e2b5e1-41c0-4fc3-a5c1-a0505e0c75f6,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,eef76b1e-ceef-4210-883a-f9b053d212ad,Partnership Hoteles Boutique,Iniciativa para: Establecer 10 Alianzas Estratégicas,22,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-09-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,planning
150b2d4a-18a0-4f6f-a6f5-118e1863e739,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Innovación y Desarrollo - Incrementar visibilidad de destinos,Innovar y desarrollar nuevas capacidades para: Incrementar visibilidad de destinos,0,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:27:49.784461+00,2025-08-11 18:27:49.784461+00,planning
1d7d882e-d369-463b-b793-7fff6c466828,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Optimización y Mejora - Mejorar experiencia de usuario en la app,Optimizar procesos y mejorar eficiencia para: Mejorar experiencia de usuario en la app,33,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,in_progress
2d701b6c-c7e9-434e-9ad7-e9934a98ed94,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,4913f197-6146-43a4-8e79-1fdea56aec1c,Automatización Procesos,Iniciativa para: Optimizar Cadena de Suministros,35,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-06-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
2f262b34-8b87-424d-8b59-af282adc0290,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a30,Optimización y Mejora - Optimizar la cadena de producción,Optimizar procesos y mejorar eficiencia para: Optimizar la cadena de producción,33,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a38,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,in_progress
2ff8ee8f-d102-4de4-a87d-bd461e8e7600,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,a4dfc8c8-6e54-4ae8-b98d-a248ca0d0966,Integración APIs Terceros,Iniciativa para: Implementar Nueva App Móvil,28,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-06-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
31d00eb6-770c-4d9f-8e12-e9ef9e57be6e,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Innovación y Desarrollo - Incrementar visibilidad de destinos,Innovar y desarrollar nuevas capacidades para: Incrementar visibilidad de destinos,0,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,planning
3ff81ab6-b030-422e-8b65-01f546b91c7f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Experiencias Culturales Inmersivas,Desarrollar tours culturales con comunidades locales y sitios patrimoniales,20,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-05-31,2025-02-01,,2025-08-11 18:35:08.269621+00,2025-08-11 18:35:08.269621+00,planning
431f4c3b-2558-400b-a3e9-f0b75ecab908,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Estrategia y Planificación - Mejorar experiencia de usuario en la app,Definir e implementar la estrategia para alcanzar: Mejorar experiencia de usuario en la app,67,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:27:49.784461+00,2025-08-11 18:27:49.784461+00,in_progress
48f1287e-60a6-4b24-bdcf-8c31e9c35260,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,a4dfc8c8-6e54-4ae8-b98d-a248ca0d0966,Desarrollo App iOS/Android,Iniciativa para: Implementar Nueva App Móvil,32,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-06-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
4ac7fbe9-3280-4d52-b300-7115482cf2e6,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Expansión de Canales Digitales de Venta,Implementar nueva plataforma e-commerce y fortalecer presencia en OTAs (Online Travel Agencies),85,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-02-28,2025-01-01,,2025-08-11 18:35:07.279154+00,2025-08-11 18:35:07.279154+00,in_progress
4cfdb6c3-c490-4c29-9148-64bad9c5e485,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Optimización y Mejora - Mejorar experiencia de usuario en la app,Optimizar procesos y mejorar eficiencia para: Mejorar experiencia de usuario en la app,33,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:27:49.784461+00,2025-08-11 18:27:49.784461+00,in_progress
54b97741-f366-45a0-a9e0-14e9e5d5090b,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Programa de Fidelización y CRM,Implementar programa de puntos y sistema CRM para gestión de clientes,30,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-04-30,2025-02-01,,2025-08-11 18:35:07.680517+00,2025-08-11 18:35:07.680517+00,planning
588d815d-ab92-44b6-ad38-5ba6c18431ff,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Optimización y Mejora - Incrementar visibilidad de destinos,Optimizar procesos y mejorar eficiencia para: Incrementar visibilidad de destinos,33,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,in_progress
5c0dda2e-4c08-4d92-96b3-be217ab9f9f8,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,Estrategia y Planificación - Incrementar visibilidad de destinos,Definir e implementar la estrategia para alcanzar: Incrementar visibilidad de destinos,67,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,in_progress
5d28e075-c556-4c60-8d43-85f580b22507,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a30,Estrategia y Planificación - Optimizar la cadena de producción,Definir e implementar la estrategia para alcanzar: Optimizar la cadena de producción,67,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a38,2025-10-25,2025-06-27,,2025-08-11 18:27:49.784461+00,2025-08-11 18:27:49.784461+00,in_progress
601491fc-20ea-42ff-a822-cb21c8205612,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,160c6aaf-7f77-4e6b-94d7-835227441cda,Paquete Ecoturismo Amazónico,Iniciativa para: Lanzar 3 Nuevos Paquetes Turísticos,78,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-03-31,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
63024072-b5f1-4547-a2d6-880b6b9a5470,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,Desarrollo de Productos de Turismo Sostenible,Crear línea de paquetes eco-friendly con certificación de sostenibilidad,70,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a33,2025-03-31,2025-01-01,,2025-08-11 18:35:07.880405+00,2025-08-11 18:35:07.880405+00,in_progress
6bbcddab-60f6-488b-8b98-f37f676833ad,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,c3667e51-d5f4-4850-8540-2ce5d7469b6a,Concursos y Sorteos,Iniciativa para: Alcanzar 50K Seguidores en Redes,92,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-03-31,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
746f388b-89fb-4cc8-b4e5-01d1072eca90,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,b1eebc99-9c0b-4ef8-bb6d-6bb9bd380a29,Innovación y Desarrollo - Lanzar nueva línea de eco-iluminación,Innovar y desarrollar nuevas capacidades para: Lanzar nueva línea de eco-iluminación,0,d2eebc99-9c0b-4ef8-bb6d-6bb9bd380a38,2025-10-25,2025-06-27,,2025-08-11 18:26:46.646723+00,2025-08-11 18:27:49.784461+00,planning
75cd7337-26b3-4745-879c-322c2c7cb6bf,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,987ee8f4-5e87-4df8-8724-7808f2951862,Capacitación Equipo Ventas,Iniciativa para: Incrementar Ventas Q1 en 25%,92,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-03-31,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
76bcfbf1-5a9c-4c86-bd2b-d6b5843bd95f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,4913f197-6146-43a4-8e79-1fdea56aec1c,Optimización Inventario,Iniciativa para: Optimizar Cadena de Suministros,28,dced7722-dddd-4cd0-8a83-c2460f09fad8,2025-06-30,2024-12-01,,2025-08-12 05:55:51.165938+00,2025-08-12 06:01:21.153688+00,in_progress
